team,opponent,name,position,line,status,pp_line,salary,projected_points,projected_owned,_api_request_timstamp,_game_date,_api_request_timestamp
BOS,CHI,Jeremy Swayman,G,Line 1,Active,,8400,,,2024-12-04 18:00:23.428282+00:00,2024-12-04,2024-12-04 18:00:23.428282+00:00
BOS,CHI,Morgan Geekie,W,Line 1,Active,PP2,3000,,,2024-12-04 18:00:23.428282+00:00,2024-12-04,2024-12-04 18:00:23.428282+00:00
BOS,CHI,David Pastrnak,W,Line 1,Active,PP1,9200,,,2024-12-04 18:00:23.428282+00:00,2024-12-04,2024-12-04 18:00:23.428282+00:00
BOS,CHI,Pavel Zacha,C,Line 1,Active,PP1,4800,,,2024-12-04 18:00:23.428282+00:00,2024-12-04,2024-12-04 18:00:23.428282+00:00
BOS,CHI,Justin Brazeau,W,Line 2,Active,PP2,3100,,,2024-12-04 18:00:23.428282+00:00,2024-12-04,2024-12-04 18:00:23.428282+00:00
BOS,CHI,Elias Lindholm,C,Line 2,Active,PP1,5000,,,2024-12-04 18:00:23.428282+00:00,2024-12-04,2024-12-04 18:00:23.428282+00:00
BOS,CHI,Brad Marchand,W,Line 2,Active,PP1,5500,,,2024-12-04 18:00:23.428282+00:00,2024-12-04,2024-12-04 18:00:23.428282+00:00
BOS,CHI,Trent Frederic,W,Line 3,Active,PP2,2500,,,2024-12-04 18:00:23.428282+00:00,2024-12-04,2024-12-04 18:00:23.428282+00:00
BOS,CHI,Charlie Coyle,C,Line 3,Active,PP2,3100,,,2024-12-04 18:00:23.428282+00:00,2024-12-04,2024-12-04 18:00:23.428282+00:00
BOS,CHI,Mark Kastelic,W,Line 3,Active,,2600,,,2024-12-04 18:00:23.428282+00:00,2024-12-04,2024-12-04 18:00:23.428282+00:00
BOS,CHI,Cole Koepke,W,Line 4,Active,,2600,,,2024-12-04 18:00:23.428282+00:00,2024-12-04,2024-12-04 18:00:23.428282+00:00
BOS,CHI,John Beecher,C,Line 4,Active,,2500,,,2024-12-04 18:00:23.428282+00:00,2024-12-04,2024-12-04 18:00:23.428282+00:00
BOS,CHI,Marc McLaughlin,,Line 4,Inactive,,,,,2024-12-04 18:00:23.428282+00:00,2024-12-04,2024-12-04 18:00:23.428282+00:00
BOS,CHI,Charlie McAvoy,D,Line 1,Active,PP1,5300,,,2024-12-04 18:00:23.428282+00:00,2024-12-04,2024-12-04 18:00:23.428282+00:00
BOS,CHI,Jordan Oesterle,D,Line 1,Active,,2500,,,2024-12-04 18:00:23.428282+00:00,2024-12-04,2024-12-04 18:00:23.428282+00:00
BOS,CHI,Nikita Zadorov,D,Line 2,Active,,2800,,,2024-12-04 18:00:23.428282+00:00,2024-12-04,2024-12-04 18:00:23.428282+00:00
BOS,CHI,Brandon Carlo,D,Line 1,Active,,3200,,,2024-12-04 18:00:23.428282+00:00,2024-12-04,2024-12-04 18:00:23.428282+00:00
BOS,CHI,Mason Lohrei,D,Line 1,Active,PP2,3100,,,2024-12-04 18:00:23.428282+00:00,2024-12-04,2024-12-04 18:00:23.428282+00:00
BOS,CHI,Andrew Peeke,D,Line 1,Active,,2600,,,2024-12-04 18:00:23.428282+00:00,2024-12-04,2024-12-04 18:00:23.428282+00:00
CHI,BOS,Petr Mrazek,G,Line 1,Active,,7000,,,2024-12-04 18:00:23.428282+00:00,2024-12-04,2024-12-04 18:00:23.428282+00:00
CHI,BOS,Taylor Hall,W,Line 1,Active,PP2,3500,,,2024-12-04 18:00:23.428282+00:00,2024-12-04,2024-12-04 18:00:23.428282+00:00
CHI,BOS,Connor Bedard,C,Line 1,Active,PP1,7100,,,2024-12-04 18:00:23.428282+00:00,2024-12-04,2024-12-04 18:00:23.428282+00:00
